- парфен ? да уж это не тех ли самых рогожиных ... - начал было с усиленною важностью чиновник . ||| “ 帕 尔 芬 ？ 这 不 就 是 那 一 家 罗 戈 任 … … ” 小 公 务 员 特 别 傲 慢 地 说 。
да и было у него когда-то такое же , сходное : снял он с себя пояс , отстегнулся и пошел ... ||| 以 前 他 的 确 也 发 生 过 类 似 事 情 。 他 解 开 腰 带 ， 卸 下 钩 子 就 干 起 来 了 。
к этому времени валерий уже знал , что дутов и был инспектором манежа . ||| 当 时 瓦 列 里 已 经 知 晓 ， 穿 苏 格 兰 花 格 衬 衣 的 人 是 马 戏 院 督 察 H . H 某 人 。
бутонов выдохнул воздух и навсегда забыл , какие же это женщины ему обыкновенно нравились ... ||| 瓦 列 里 长 出 了 一 口 气 ， 永 久 地 忘 却 了 他 一 般 喜 欢 什 么 样 的 女 人 . . . . . .
во всяком случае , она явно предпочла бы его своему основному претенденту , заслуженному артисту , недавнему вдовцу с зычным голосом , болтливому , тщеславному и обидчивому , как гимназистка . ||| 至 少 她 认 为 伊 万 明 显 地 强 于 一 直 在 追 求 她 的 丧 偶 新 鳏 — — 嗓 音 浑 厚 的 老 演 员 。 他 特 别 爱 唠 叨 ， 虚 荣 心 很 强 ， 又 像 女 学 生 那 样 爱 生 气 。
– хороший вор сюда не полезет , а от шпаны защита . ||| “ 高 级 小 偷 不 会 上 这 儿 来 ， 防 那 些 小 痞 子 是 没 问 题 的 。 ” 他 对 亚 历 山 德 拉 解 释 说 。
теперешняя медея знала , конечно , о существовании своей батумской тезки , матильдиной золовки , жены старшего брата сидора . ||| 美 狄 娅 推 测 这 个 马 纳 娜 是 玛 蒂 尔 达 的 嫂 子 ， 她 那 个 哥 哥 好 像 是 叫 西 多 尔 。
маша зажгла настольную лампу и взяла из стопы книг самую растрепанную – это был утешительный диккенс . ||| 玛 莎 点 起 灯 ， 从 书 堆 里 拿 起 一 本 看 得 最 破 的 — — 这 是 能 够 给 人 安 慰 的 《 狄 更 斯 》 。
но ника не радовалась этим стихам , скорее – пугалась . зато ее очень забавляло , что она , извещенная машей о каждом слове , произнесенном бутоновым , о каждом его движении , поминутно знает о том , как он провел вчерашний день . ||| 尼 卡 由 玛 莎 嘴 里 得 知 布 托 诺 夫 说 的 每 一 句 话 ， 做 的 每 一 个 动 作 ， 甚 至 都 觉 得 有 点 开 心 解 闷 — — 昨 天 布 托 诺 夫 这 一 天 每 时 每 刻 是 怎 么 过 的 都 一 清 二 楚 。
но когда наутро она увидела его из окна , растерянного , озирающегося и ищущего ее , она дрогнула . ||| 但 是 ， 她 第 二 天 早 晨 从 窗 口 看 见 他 不 知 所 措 、 东 张 西 望 寻 找 她 的 样 子 ， 不 禁 颤 抖 了 一 下 。
и в каком-то безмерном отчаянии она подумала , что не надо ей было креститься , не надо было ничего этого знать , она сама все напортила : грозному , злому богу неугодны ее молитвы и слезы — он жаждет для нее только наказания , он отнимет ее дитя , которое не смогла отнять судьба , и она заплакала горькими , бессильными слезами . ||| 她 怀 着 一 种 无 限 的 绝 望 想 到 ， 当 初 她 不 该 受 洗 ， 不 该 知 道 这 一 切 ， 是 她 自 己 把 这 一 切 搞 了 : 她 的 祈 祷 和 眼 泪 并 不 合 那 威 严 的 、 凶 恶 的 上 帝 的 心 意 — — 他 只 渴 望 她 受 到 惩 罚 ， 他 将 夺 去 她 那 连 命 运 都 未 能 夺 去 的 孩 子 ， 于 是 她 流 着 痛 苦 而 软 弱 的 眼 泪 哭 了 起 来 。
ежели я осмеливаюсь беспокоить ваше — ство , то именно из чувства , могу сказать , раскаяния ! .. не нарочно , сами изволите знать-с ! ||| 倘 若 在 下 胆 敢 打 搅 大 人 的 话 ， 那 么 可 以 说 ， 只 是 出 于 一 种 悔 过 的 心 情 … … 我 不 是 有 意 的 ， 务 请 您 谅 解 ， 大 人 ！ ”
ветеринарный врач иван иваныч и учитель гимназии буркин уже утомились идти , и поле представлялось им бесконечным . ||| 兽 医 伊 凡 · 伊 凡 内 奇 和 中 学 教 员 布 尔 金 已 经 走 得 很 累 ， 觉 得 眼 前 的 这 片 田 野 像 是 没 有 尽 头 。
то есть , если хотите , и есть одно дело , так , только совета спросить , но я , главное , чтоб отрекомендоваться , потому я князь мышкин , а генеральша епанчина тоже последняя из княжон мышкиных , и , кроме меня с нею , мышкиных больше и нет . ||| 也 就 是 说 ， 如 果 您 愿 意 的 话 ， 也 是 有 一 桩 事 情 只 是 想 来 请 教 ， 但 我 主 要 地 是 来 自 我 介 绍 ， 因 为 我 是 梅 什 金 公 爵 ， 而 叶 潘 钦 将 军 夫 人 也 是 梅 什 金 家 族 的 最 后 一 位 公 爵 小 姐 。 除 了 我 和 她 ， 梅 什 金 家 族 别 无 他 人 了 。 ”
-- да для чего же вы про это рассказали ? ||| “ 您 为 什 么 要 讲 这 个 ？ ”
- фердыщенко , - проговорил он , пристально и вопросительно засматривая князю в лицо . ||| “ 费 尔 迪 先 科 ， ” 他 自 我 介 绍 说 ， 一 边 专 注 和 疑 问 地 端 详 着 公 爵 的 脸 。
рассмотрев ее хорошенько у себя дома , он открыл , что в двух-трех местах , именно на спине и на плечах , она сделалась точная серпянка ; сукно до того истерлось , что сквозило , и подкладка расползлась . ||| 回 家 之 后 ， 他 仔 细 查 看 了 一 下 外 套 ， 发 现 有 两 三 处 地 方 ， 恰 好 是 在 背 部 和 肩 膀 上 ， 果 然 只 剩 下 一 层 稀 麻 布 了 ； 呢 子 磨 得 透 了 风 ， 连 衬 里 也 已 破 烂 不 堪 。
— добре ... ||| “ 好 吧 … … ”
из оврагов высунулись розгами ветки кустарника , лучи холодного заката окрасили их кровью . ||| 从 山 沟 里 伸 出 灌 木 丛 的 小 枝 条 ， 跟 鞭 子 一 样 。 冷 冷 的 夕 阳 ， 把 它 们 染 得 血 一 般 红 。
ему было жарко , он расстегнул мундир и рубаху , обнажив шею . ||| 他 热 得 解 开 了 制 服 和 内 衣 ， 露 出 了 脖 子 。
отдавая эту славную книгу закройщице , я просил ее дать мне еще такую же . ||| 我 把 这 本 好 书 还 给 裁 缝 妻 子 的 时 候 ， 要 她 再 借 些 这 样 的 书 给 我 。
так иногда в кино монтируют кадр , все более укрупняя , под тиканье часов , наводящее на мысль о взрывном механизме , во всяком случае намекая , что в этом тикающем предмете кроется нечто существенное . ||| 这 便 如 同 电 影 中 的 镜 头 剪 辑 ， 画 面 越 来 越 大 ， 在 钟 表 的 滴 答 声 中 ， 将 思 想 引 向 爆 破 装 置 ， 暗 示 在 这 个 滴 答 作 响 的 物 件 中 ， 隐 藏 着 某 种 非 常 重 要 的 东 西 。
